texto_original,texto_limpo,tokens,comentarios,likes,compartilhamentos,repostagens,total,data_hora,author_handle,author_displayName,image_ref
"Whether President Trump’s plan to take long-term control of the Gaza Strip is realized or not, the scale and cost of rebuilding the Philadelphia-size enclave will be monumental.",whether president trumps plan take longterm control gaza strip realized scale cost rebuilding philadelphiasize enclave monumental,"['whether', 'president', 'trumps', 'plan', 'take', 'longterm', 'control', 'gaza', 'strip', 'realized', 'scale', 'cost', 'rebuilding', 'philadelphiasize', 'enclave', 'monumental']",11,12,5,0,28,2025-02-09T16:00:04.050Z,wsj.com,The Wall Street Journal,False
The scope and velocity of President Trump’s initial moves are creating a ripple effect that stretches from American main streets to far-flung corners of the world.,scope velocity president trumps initial moves creating ripple effect stretches american main streets farflung corners world,"['scope', 'velocity', 'president', 'trumps', 'initial', 'moves', 'creating', 'ripple', 'effect', 'stretches', 'american', 'main', 'streets', 'farflung', 'corners', 'world']",43,32,15,5,95,2025-02-09T15:30:05.848Z,wsj.com,The Wall Street Journal,False
Roman and Williams’s designs grace interiors around the world. Taste makers buy their luxurious furniture and accessories from the firm’s New York store. You can buy them from wherever you are.,roman williamss designs grace interiors around world taste makers buy luxurious furniture accessories firms new york store buy wherever,"['roman', 'williamss', 'designs', 'grace', 'interiors', 'around', 'world', 'taste', 'makers', 'buy', 'luxurious', 'furniture', 'accessories', 'firms', 'new', 'york', 'store', 'buy', 'wherever']",3,18,2,2,25,2025-02-08T20:23:03.158Z,wsj.com,The Wall Street Journal,False
"Do you default to jeans and sneakers? For a style refresh, try these four cooler pants-and-shoes combos for men",default jeans sneakers style refresh try four cooler pantsandshoes combos men,"['default', 'jeans', 'sneakers', 'style', 'refresh', 'try', 'four', 'cooler', 'pantsandshoes', 'combos', 'men']",18,10,0,3,31,2025-02-08T17:19:02.854Z,wsj.com,The Wall Street Journal,False
"On your next trip to Spain, skip the big-name resorts and consider checking in to a Parador hotel, part of a network of state-run hotels set in immaculately preserved historic buildings",next trip spain skip bigname resorts consider checking parador hotel part network staterun hotels set immaculately preserved historic buildings,"['next', 'trip', 'spain', 'skip', 'bigname', 'resorts', 'consider', 'checking', 'parador', 'hotel', 'part', 'network', 'staterun', 'hotels', 'set', 'immaculately', 'preserved', 'historic', 'buildings']",16,87,11,3,117,2025-02-08T13:00:03.752Z,wsj.com,The Wall Street Journal,False
"Will Congress and the courts dare to push back against President Trump’s blizzard of executive orders, Gerald F. Seib asks",congress courts dare push back president trumps blizzard executive orders gerald f seib asks,"['congress', 'courts', 'dare', 'push', 'back', 'president', 'trumps', 'blizzard', 'executive', 'orders', 'gerald', 'f', 'seib', 'asks']",44,112,21,4,181,2025-02-08T10:41:01.950Z,wsj.com,The Wall Street Journal,False
Which first lady hid the valuable ashtrays when company visited the executive mansion? What engineering feat did Harry Truman oversee at 1600 Pennsylvania Ave.? These and more White House decor fun facts for Presidents Day.,first lady hid valuable ashtrays company visited executive mansion engineering feat harry truman oversee pennsylvania ave white house decor fun facts presidents day,"['first', 'lady', 'hid', 'valuable', 'ashtrays', 'company', 'visited', 'executive', 'mansion', 'engineering', 'feat', 'harry', 'truman', 'oversee', 'pennsylvania', 'ave', 'white', 'house', 'decor', 'fun', 'facts', 'presidents', 'day']",18,18,3,0,39,2025-02-08T03:26:02.952Z,wsj.com,The Wall Street Journal,False
House of the Week: The sellers of a waterfront home on Lake Keowee in South Carolina say owning the European-inspired estate has felt like living on Lake Como,house week sellers waterfront home lake keowee south carolina say owning europeaninspired estate felt like living lake como,"['house', 'week', 'sellers', 'waterfront', 'home', 'lake', 'keowee', 'south', 'carolina', 'say', 'owning', 'europeaninspired', 'estate', 'felt', 'like', 'living', 'lake', 'como']",5,14,2,0,21,2025-02-08T02:48:02.958Z,wsj.com,The Wall Street Journal,False
"The Trump bump in consumer confidence is already over. Tariff threats, stock market swings and rapidly reversing executive orders are causing Americans across the political spectrum to feel considerably more pessimistic about the economy.",trump bump consumer confidence already tariff threats stock market swings rapidly reversing executive orders causing americans across political spectrum feel considerably pessimistic economy,"['trump', 'bump', 'consumer', 'confidence', 'already', 'tariff', 'threats', 'stock', 'market', 'swings', 'rapidly', 'reversing', 'executive', 'orders', 'causing', 'americans', 'across', 'political', 'spectrum', 'feel', 'considerably', 'pessimistic', 'economy']",46,170,54,15,285,2025-02-07T23:00:04.057Z,wsj.com,The Wall Street Journal,False
Beka Gvishiani started Style Not Com to share fashion commentary. Now it’s one of the industry’s favorite news sources. https://www.wsj.com/style/fashion/style-not-com-instagram-zara-beka-gvishiani-sponsored-b8294174?mod=bluesky,beka gvishiani started style com share fashion commentary one industrys favorite news sources,"['beka', 'gvishiani', 'started', 'style', 'com', 'share', 'fashion', 'commentary', 'one', 'industrys', 'favorite', 'news', 'sources']",0,11,2,1,14,2025-02-07T21:56:02.958Z,wsj.com,The Wall Street Journal,True
"A second strain of bird flu was recently detected among dairy cows in Nevada, a sign that the outbreak could be harder to rein in than previously thought. How worried should you be?",second strain bird flu recently detected among dairy cows nevada sign outbreak could harder rein previously thought worried,"['second', 'strain', 'bird', 'flu', 'recently', 'detected', 'among', 'dairy', 'cows', 'nevada', 'sign', 'outbreak', 'could', 'harder', 'rein', 'previously', 'thought', 'worried']",27,114,51,3,195,2025-02-07T20:26:46.656Z,wsj.com,The Wall Street Journal,False
"Artificial intelligence, at least one GLP-1 weight-loss treatment and ardently apolitical themes are set to occupy the ad breaks in the Super Bowl",artificial intelligence least one glp weightloss treatment ardently apolitical themes set occupy ad breaks super bowl,"['artificial', 'intelligence', 'least', 'one', 'glp', 'weightloss', 'treatment', 'ardently', 'apolitical', 'themes', 'set', 'occupy', 'ad', 'breaks', 'super', 'bowl']",9,17,4,3,33,2025-02-07T20:25:02.456Z,wsj.com,The Wall Street Journal,False
Raising awareness about cyberattacks is one thing. Tricking a worker into thinking there’s a lost puppy in the parking lot is just cruel.,raising awareness cyberattacks one thing tricking worker thinking theres lost puppy parking lot cruel,"['raising', 'awareness', 'cyberattacks', 'one', 'thing', 'tricking', 'worker', 'thinking', 'theres', 'lost', 'puppy', 'parking', 'lot', 'cruel']",3,28,4,1,36,2025-02-07T19:13:03.049Z,wsj.com,The Wall Street Journal,False
"“60 Minutes” producer Bill Owens said, “That’s fine.” The seemingly innocuous comment ignited a legal battle and massive leadership test.",minutes producer bill owens said thats fine seemingly innocuous comment ignited legal battle massive leadership test,"['minutes', 'producer', 'bill', 'owens', 'said', 'thats', 'fine', 'seemingly', 'innocuous', 'comment', 'ignited', 'legal', 'battle', 'massive', 'leadership', 'test']",3,31,2,1,37,2025-02-07T18:30:19.458Z,wsj.com,The Wall Street Journal,False
"As New Orleans prepares to host the Super Bowl this weekend, the Big Easy is banking on the NFL’s biggest game reviving its sagging economy and helping it recover from the New Year’s terrorist attack",new orleans prepares host super bowl weekend big easy banking nfls biggest game reviving sagging economy helping recover new years terrorist attack,"['new', 'orleans', 'prepares', 'host', 'super', 'bowl', 'weekend', 'big', 'easy', 'banking', 'nfls', 'biggest', 'game', 'reviving', 'sagging', 'economy', 'helping', 'recover', 'new', 'years', 'terrorist', 'attack']",6,19,2,0,27,2025-02-07T18:04:02.287Z,wsj.com,The Wall Street Journal,False
"“It’s kind of a mystery in there.” Welcome to Smoke Tree Ranch, one of the most exclusive private real-estate communities in the country. https://www.wsj.com/real-estate/luxury-homes/smoke-tree-ranch-palm-springs-3198e13d?mod=bluesky",kind mystery welcome smoke tree ranch one exclusive private realestate communities country,"['kind', 'mystery', 'welcome', 'smoke', 'tree', 'ranch', 'one', 'exclusive', 'private', 'realestate', 'communities', 'country']",5,18,2,0,25,2025-02-07T17:00:24.253Z,wsj.com,The Wall Street Journal,True
"Dan Crumb, the CFO of the Kansas City Chiefs, plays a key role behind the scenes at the team maximizing revenue and setting the budget",dan crumb cfo kansas city chiefs plays key role behind scenes team maximizing revenue setting budget,"['dan', 'crumb', 'cfo', 'kansas', 'city', 'chiefs', 'plays', 'key', 'role', 'behind', 'scenes', 'team', 'maximizing', 'revenue', 'setting', 'budget']",1,10,0,0,11,2025-02-07T16:25:03.260Z,wsj.com,The Wall Street Journal,False
"Markets concluded tariffs on Mexico and Canada would hurt the economy and raise prices, but they got both countries to act, writes Chief Economics Commentator Greg Ip",markets concluded tariffs mexico canada would hurt economy raise prices got countries act writes chief economics commentator greg ip,"['markets', 'concluded', 'tariffs', 'mexico', 'canada', 'would', 'hurt', 'economy', 'raise', 'prices', 'got', 'countries', 'act', 'writes', 'chief', 'economics', 'commentator', 'greg', 'ip']",25,20,4,1,50,2025-02-07T15:25:02.853Z,wsj.com,The Wall Street Journal,False
"State Farm aggressively grew in Los Angeles, despite getting overweight on fire risk, but decided to cut thousands of policies last year, adding to California’s home-insurance crisis",state farm aggressively grew los angeles despite getting overweight fire risk decided cut thousands policies last year adding californias homeinsurance crisis,"['state', 'farm', 'aggressively', 'grew', 'los', 'angeles', 'despite', 'getting', 'overweight', 'fire', 'risk', 'decided', 'cut', 'thousands', 'policies', 'last', 'year', 'adding', 'californias', 'homeinsurance', 'crisis']",6,34,11,1,52,2025-02-07T14:41:03.055Z,wsj.com,The Wall Street Journal,False
Conservative President José Raúl Mulino wanted to work with President Trump from day one. He’s now trying to stop a U.S. takeover of the Panama Canal.,conservative president josé raúl mulino wanted work president trump day one hes trying stop us takeover panama canal,"['conservative', 'president', 'josé', 'raúl', 'mulino', 'wanted', 'work', 'president', 'trump', 'day', 'one', 'hes', 'trying', 'stop', 'us', 'takeover', 'panama', 'canal']",17,104,16,0,137,2025-02-07T14:03:03.055Z,wsj.com,The Wall Street Journal,False
"The U.S. added 143,000 jobs last month, slightly below what was expected. The unemployment rate edged down to 4%.",us added jobs last month slightly expected unemployment rate edged,"['us', 'added', 'jobs', 'last', 'month', 'slightly', 'expected', 'unemployment', 'rate', 'edged']",9,16,2,2,29,2025-02-07T13:37:59.948Z,wsj.com,The Wall Street Journal,False
"Amazon, Google, Microsoft and Meta are pouring billions into artificial intelligence, undeterred by DeepSeek’s rise",amazon google microsoft meta pouring billions artificial intelligence undeterred deepseeks rise,"['amazon', 'google', 'microsoft', 'meta', 'pouring', 'billions', 'artificial', 'intelligence', 'undeterred', 'deepseeks', 'rise']",5,24,12,2,43,2025-02-07T13:25:00.550Z,wsj.com,The Wall Street Journal,False
"Review: Christopher Abbott and Barry Keoghan star in ""Bring Them Down,"" a grim drama about the increasing enmity between neighbors in rural Ireland",review christopher abbott barry keoghan star bring grim drama increasing enmity neighbors rural ireland,"['review', 'christopher', 'abbott', 'barry', 'keoghan', 'star', 'bring', 'grim', 'drama', 'increasing', 'enmity', 'neighbors', 'rural', 'ireland']",3,21,2,0,26,2025-02-07T03:52:03.052Z,wsj.com,The Wall Street Journal,False
Looking to go on a cruise in the next few years? New sustainability rules might dictate where you’re going—and what ship you’re sailing on,looking go cruise next years new sustainability rules might dictate youre goingand ship youre sailing,"['looking', 'go', 'cruise', 'next', 'years', 'new', 'sustainability', 'rules', 'might', 'dictate', 'youre', 'goingand', 'ship', 'youre', 'sailing']",1,28,2,0,31,2025-02-07T02:37:02.656Z,wsj.com,The Wall Street Journal,False
Ready to up your baking game? A charming new cookbook promises to show anyone how to master everything from the perfect chocolate cake to a flawless focaccia,ready baking game charming new cookbook promises show anyone master everything perfect chocolate cake flawless focaccia,"['ready', 'baking', 'game', 'charming', 'new', 'cookbook', 'promises', 'show', 'anyone', 'master', 'everything', 'perfect', 'chocolate', 'cake', 'flawless', 'focaccia']",3,21,2,1,27,2025-02-07T01:45:03.353Z,wsj.com,The Wall Street Journal,False
"Psychotherapist Rachel Glik believed her children always had to come ahead of her husband. It was a mistake for her family, she writes.",psychotherapist rachel glik believed children always come ahead husband mistake family writes,"['psychotherapist', 'rachel', 'glik', 'believed', 'children', 'always', 'come', 'ahead', 'husband', 'mistake', 'family', 'writes']",2,25,4,1,32,2025-02-06T23:30:03.057Z,wsj.com,The Wall Street Journal,False
House Republicans wrapped up a meeting at the White House saying that they had closed gaps in their internal disagreements over extending expiring tax cuts and cutting spending,house republicans wrapped meeting white house saying closed gaps internal disagreements extending expiring tax cuts cutting spending,"['house', 'republicans', 'wrapped', 'meeting', 'white', 'house', 'saying', 'closed', 'gaps', 'internal', 'disagreements', 'extending', 'expiring', 'tax', 'cuts', 'cutting', 'spending']",24,15,7,4,50,2025-02-06T23:05:32.956Z,wsj.com,The Wall Street Journal,False
"Exclusive: Nikola, the much-hyped hydrogen-truck maker that was briefly valued more than Ford Motor, is nearing a bankruptcy filing",exclusive nikola muchhyped hydrogentruck maker briefly valued ford motor nearing bankruptcy filing,"['exclusive', 'nikola', 'muchhyped', 'hydrogentruck', 'maker', 'briefly', 'valued', 'ford', 'motor', 'nearing', 'bankruptcy', 'filing']",4,34,6,2,46,2025-02-06T22:40:19.962Z,wsj.com,The Wall Street Journal,False
Amazon projected weaker-than-expected sales for the first quarter and said it spent a record amount to build infrastructure for AI services,amazon projected weakerthanexpected sales first quarter said spent record amount build infrastructure ai services,"['amazon', 'projected', 'weakerthanexpected', 'sales', 'first', 'quarter', 'said', 'spent', 'record', 'amount', 'build', 'infrastructure', 'ai', 'services']",27,60,13,12,112,2025-02-06T21:59:22.853Z,wsj.com,The Wall Street Journal,False
"For residents of Washington’s Capitol Hill enclave, cuts to the federal workforce mean that home is where the angst is. “I can’t sleep.”",residents washingtons capitol hill enclave cuts federal workforce mean home angst cant sleep,"['residents', 'washingtons', 'capitol', 'hill', 'enclave', 'cuts', 'federal', 'workforce', 'mean', 'home', 'angst', 'cant', 'sleep']",3,40,13,0,56,2025-02-06T21:56:02.165Z,wsj.com,The Wall Street Journal,False
A staffer for Elon Musk’s Department of Government Efficiency whose access to U.S. Treasury payment systems was approved by a federal judge has links to a deleted social-media account that advocated for racism and eugenics,staffer elon musks department government efficiency whose access us treasury payment systems approved federal judge links deleted socialmedia account advocated racism eugenics,"['staffer', 'elon', 'musks', 'department', 'government', 'efficiency', 'whose', 'access', 'us', 'treasury', 'payment', 'systems', 'approved', 'federal', 'judge', 'links', 'deleted', 'socialmedia', 'account', 'advocated', 'racism', 'eugenics']",98,452,214,103,867,2025-02-06T20:44:06.847Z,wsj.com,The Wall Street Journal,False
Everyone from the federal government to Fortune 500 companies is dialing back their diversity efforts. But the NFL is standing its ground.,everyone federal government fortune companies dialing back diversity efforts nfl standing ground,"['everyone', 'federal', 'government', 'fortune', 'companies', 'dialing', 'back', 'diversity', 'efforts', 'nfl', 'standing', 'ground']",44,200,30,5,279,2025-02-06T20:25:02.562Z,wsj.com,The Wall Street Journal,False
"Fans of the hit show ""Severance"" just learned a harsh truth about the golden age of TV: You’re never safe from spoilers.

(This article is spoiler-free.}",fans hit show severance learned harsh truth golden age tv youre never safe spoilers article spoilerfree,"['fans', 'hit', 'show', 'severance', 'learned', 'harsh', 'truth', 'golden', 'age', 'tv', 'youre', 'never', 'safe', 'spoilers', 'article', 'spoilerfree']",2,18,1,1,22,2025-02-06T19:13:02.959Z,wsj.com,The Wall Street Journal,False
Breaking: A judge postponed the deadline for federal employees to accept a buyout offer from the Trump administration,breaking judge postponed deadline federal employees accept buyout offer trump administration,"['breaking', 'judge', 'postponed', 'deadline', 'federal', 'employees', 'accept', 'buyout', 'offer', 'trump', 'administration']",10,93,20,1,124,2025-02-06T19:08:52.859Z,wsj.com,The Wall Street Journal,False
"The Justice Department sued Illinois and Chicago over efforts to limit cooperation with federal immigration enforcement, in the Trump administration’s first legal salvo against Democratic-run states and sanctuary cities",justice department sued illinois chicago efforts limit cooperation federal immigration enforcement trump administrations first legal salvo democraticrun states sanctuary cities,"['justice', 'department', 'sued', 'illinois', 'chicago', 'efforts', 'limit', 'cooperation', 'federal', 'immigration', 'enforcement', 'trump', 'administrations', 'first', 'legal', 'salvo', 'democraticrun', 'states', 'sanctuary', 'cities']",13,26,9,1,49,2025-02-06T18:45:02.547Z,wsj.com,The Wall Street Journal,False
Exclusive: The White House is preparing an executive order to fire thousands of workers from the Department of Health and Human Services,exclusive white house preparing executive order fire thousands workers department health human services,"['exclusive', 'white', 'house', 'preparing', 'executive', 'order', 'fire', 'thousands', 'workers', 'department', 'health', 'human', 'services']",43,142,98,16,299,2025-02-06T18:27:02.465Z,wsj.com,The Wall Street Journal,False
"This past week’s tariff imbroglio has left one man in an unenviable position: FIFA president Gianni Infantino, who is tasked with organizing a U.S.-Canada-Mexico World Cup next summer",past weeks tariff imbroglio left one man unenviable position fifa president gianni infantino tasked organizing uscanadamexico world cup next summer,"['past', 'weeks', 'tariff', 'imbroglio', 'left', 'one', 'man', 'unenviable', 'position', 'fifa', 'president', 'gianni', 'infantino', 'tasked', 'organizing', 'uscanadamexico', 'world', 'cup', 'next', 'summer']",20,37,3,2,62,2025-02-06T18:04:02.948Z,wsj.com,The Wall Street Journal,False
Former Trump adviser Steve Bannon speaks with The Wall Street Journal about his expectations for Trump 2.0,former trump adviser steve bannon speaks wall street journal expectations trump,"['former', 'trump', 'adviser', 'steve', 'bannon', 'speaks', 'wall', 'street', 'journal', 'expectations', 'trump']",27,14,5,1,47,2025-02-06T17:00:07.550Z,wsj.com,The Wall Street Journal,False
"Amid January’s historic fire, Los Angeles County sent evacuation alerts to some parts of suburban Altadena too late. The consequences were grave.",amid januarys historic fire los angeles county sent evacuation alerts parts suburban altadena late consequences grave,"['amid', 'januarys', 'historic', 'fire', 'los', 'angeles', 'county', 'sent', 'evacuation', 'alerts', 'parts', 'suburban', 'altadena', 'late', 'consequences', 'grave']",8,20,3,0,31,2025-02-06T16:25:02.749Z,wsj.com,The Wall Street Journal,False
A probe into a high school’s all-gender bathroom signals President Trump’s intent to use federal authority against race and gender policies he portrays as running amok,probe high schools allgender bathroom signals president trumps intent use federal authority race gender policies portrays running amok,"['probe', 'high', 'schools', 'allgender', 'bathroom', 'signals', 'president', 'trumps', 'intent', 'use', 'federal', 'authority', 'race', 'gender', 'policies', 'portrays', 'running', 'amok']",12,16,7,2,37,2025-02-06T16:00:10.657Z,wsj.com,The Wall Street Journal,False
A judge signed off on a temporary agreement that limits the sharing of sensitive Treasury data amid a dispute over access granted to Elon Musk’s DOGE allies,judge signed temporary agreement limits sharing sensitive treasury data amid dispute access granted elon musks doge allies,"['judge', 'signed', 'temporary', 'agreement', 'limits', 'sharing', 'sensitive', 'treasury', 'data', 'amid', 'dispute', 'access', 'granted', 'elon', 'musks', 'doge', 'allies']",90,703,123,21,937,2025-02-06T15:42:50.761Z,wsj.com,The Wall Street Journal,False
Former NFL players can be coveted job candidates because of their toughness and ability to take and deliver candid feedback,former nfl players coveted job candidates toughness ability take deliver candid feedback,"['former', 'nfl', 'players', 'coveted', 'job', 'candidates', 'toughness', 'ability', 'take', 'deliver', 'candid', 'feedback']",8,10,0,0,18,2025-02-06T15:25:02.254Z,wsj.com,The Wall Street Journal,False
"The Trump administration, busy firing U.S. prosecutors who worked on Trump investigations, now looks to steer the FBI from white-collar crime and national-security cases to illegal immigration",trump administration busy firing us prosecutors worked trump investigations looks steer fbi whitecollar crime nationalsecurity cases illegal immigration,"['trump', 'administration', 'busy', 'firing', 'us', 'prosecutors', 'worked', 'trump', 'investigations', 'looks', 'steer', 'fbi', 'whitecollar', 'crime', 'nationalsecurity', 'cases', 'illegal', 'immigration']",27,66,29,6,128,2025-02-06T14:41:02.665Z,wsj.com,The Wall Street Journal,False
Exclusive: Lawmakers plan to introduce a bill Thursday that would ban DeepSeek’s chatbot application from government-owned devices over new national-security concerns,exclusive lawmakers plan introduce bill thursday would ban deepseeks chatbot application governmentowned devices new nationalsecurity concerns,"['exclusive', 'lawmakers', 'plan', 'introduce', 'bill', 'thursday', 'would', 'ban', 'deepseeks', 'chatbot', 'application', 'governmentowned', 'devices', 'new', 'nationalsecurity', 'concerns']",15,24,8,3,50,2025-02-06T14:19:38.049Z,wsj.com,The Wall Street Journal,False
Exclusive: Baltimore Ravens star Derrick Henry is putting his Dallas home back on the market for $1.595 million,exclusive baltimore ravens star derrick henry putting dallas home back market million,"['exclusive', 'baltimore', 'ravens', 'star', 'derrick', 'henry', 'putting', 'dallas', 'home', 'back', 'market', 'million']",8,5,1,0,14,2025-02-06T14:11:30.152Z,wsj.com,The Wall Street Journal,False
Exclusive: OpenAI jumps into the Super Bowl ad fray with its first-ever TV commercial,exclusive openai jumps super bowl ad fray firstever tv commercial,"['exclusive', 'openai', 'jumps', 'super', 'bowl', 'ad', 'fray', 'firstever', 'tv', 'commercial']",10,10,3,3,26,2025-02-06T13:15:09.648Z,wsj.com,The Wall Street Journal,False
